source_id,source_row_id,city_district,waste_type,waste_generated_tons_day,recycling_rate,population_density_people_km²,municipal_efficiency_score_1_10,disposal_method,cost_of_waste_management_ton,awareness_campaigns_count,landfill_name,landfill_location_lat_long,landfill_capacity_tons,year,waste_reduction_initiatives,industrial_symbiosis_index,community_participation_score,green_technology_adoption,recycling_infrastructure_rating
KAGGLE_03,17,Mumbai,Organic,3348,79,11191,6,Incineration,2383,10,Mumbai Landfill,"22.4265, 77.4931",45575,1970,4.893045768386084,1.6164401952476664,4.560738184574024,7.712777989210354,78.84511307854801
KAGGLE_03,18,Mumbai,E-Waste,6915,41,11191,9,Incineration,2324,1,Mumbai Landfill,"22.4265, 77.4931",45575,1970,2.407920748764953,8.007892918173901,2.35935836042669,4.25434200549272,38.60941247280151
KAGGLE_03,19,Mumbai,Construction,5862,48,11191,7,Landfill,2867,19,Mumbai Landfill,"22.4265, 77.4931",45575,1970,8.515806545489134,7.843221104602351,7.381836604814861,4.53201818030881,50.90185509655842
KAGGLE_03,20,Mumbai,Hazardous,4856,74,11191,10,Landfill,826,1,Mumbai Landfill,"22.4265, 77.4931",45575,1970,2.5891685491179777,5.371896369277489,3.00758191514983,6.914381446072085,77.61439328727577
KAGGLE_03,21,Mumbai,Plastic,6569,48,11191,5,Landfill,4287,16,Mumbai Landfill,"22.4265, 77.4931",45575,1970,7.050345419315155,9.237297263673264,6.233456556045543,5.064353386436427,44.63468261175463
KAGGLE_03,22,Mumbai,Organic,7809,35,11191,8,Recycling,3128,7,Mumbai Landfill,"22.4265, 77.4931",45575,1970,4.212465648384848,4.639043123319429,4.484464863650473,3.623743084864009,32.95194281822724
KAGGLE_03,23,Mumbai,E-Waste,7232,82,11191,6,Landfill,1565,9,Mumbai Landfill,"22.4265, 77.4931",45575,1970,4.524033387553372,7.33523970512776,4.3998495627658585,8.46230262450096,81.44037931524599
KAGGLE_03,24,Mumbai,Construction,4039,54,11191,9,Recycling,1252,12,Mumbai Landfill,"22.4265, 77.4931",45575,1970,6.387212603370972,6.776579009304159,5.304790847861767,4.938938016687666,52.070924410179614
KAGGLE_03,25,Mumbai,Hazardous,7077,70,11191,9,Incineration,2850,5,Mumbai Landfill,"22.4265, 77.4931",45575,1970,3.865353195613675,5.764514301386676,3.304382859333976,7.337119627830653,71.01193110691173
KAGGLE_03,26,Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,1970,1.4594435016938343,6.846190969311901,3.3814880261971494,6.019526200036303,57.54345559518677
KAGGLE_03,27,Delhi,Organic,2224,84,14376,10,Landfill,3219,4,Delhi Landfill,"30.2591, 91.9376",74509,1970,3.641105386784415,2.914947866239084,4.469993099196115,8.463395350712641,88.3301121356132
KAGGLE_03,28,Delhi,E-Waste,2395,43,14376,5,Composting,2005,1,Delhi Landfill,"30.2591, 91.9376",74509,1970,1.415951100529454,7.458945362854468,3.344505080064684,4.424614048114532,45.38109718868719
KAGGLE_03,29,Delhi,Construction,1887,80,14376,7,Incineration,4307,4,Delhi Landfill,"30.2591, 91.9376",74509,1970,3.048567540706325,9.0169480369132,3.8488260681348554,8.364433246868364,80.42514806126442
KAGGLE_03,30,Delhi,Hazardous,4158,48,14376,5,Composting,4183,6,Delhi Landfill,"30.2591, 91.9376",74509,1970,3.10904567952032,7.331162708461144,4.638829430011834,4.886936506558907,50.05397252663946
KAGGLE_03,31,Delhi,Plastic,763,75,14376,5,Recycling,1337,20,Delhi Landfill,"30.2591, 91.9376",74509,1970,8.544948215633081,7.073748468367299,7.613932662486693,7.580950379888179,77.21180084871462
KAGGLE_03,32,Delhi,Organic,7143,69,14376,9,Landfill,682,16,Delhi Landfill,"30.2591, 91.9376",74509,1970,7.689562697100786,3.0546583757386427,7.379671064286703,7.390679157065766,67.87210502388352
KAGGLE_03,33,Delhi,E-Waste,7516,84,14376,5,Composting,620,18,Delhi Landfill,"30.2591, 91.9376",74509,1970,7.367389044637313,6.840268071691257,7.494095934801142,8.656730167068568,82.36756551091607
KAGGLE_03,34,Delhi,Construction,3125,77,14376,8,Recycling,4345,5,Delhi Landfill,"30.2591, 91.9376",74509,1970,3.8081222552593976,8.06985058558791,4.190361726060947,7.642293805451135,77.15628612593929
KAGGLE_03,35,Delhi,Hazardous,6574,84,14376,8,Incineration,913,20,Delhi Landfill,"30.2591, 91.9376",74509,1970,9.629836812877722,7.296130558245735,8.076876772474824,8.607397000032929,85.72327224899588
KAGGLE_03,36,Delhi,Plastic,3407,82,14376,10,Composting,2802,4,Delhi Landfill,"30.2591, 91.9376",74509,1970,3.881632787908129,8.713635125943252,4.115795846810708,8.089230471691788,82.27812079730684
KAGGLE_03,37,Delhi,Organic,9617,36,14376,6,Recycling,2676,5,Delhi Landfill,"30.2591, 91.9376",74509,1970,3.077236898092021,5.053911936629589,3.8127877902478176,3.3288754624834995,32.84600703561801
KAGGLE_03,38,Delhi,E-Waste,1426,38,14376,5,Composting,1674,2,Delhi Landfill,"30.2591, 91.9376",74509,1970,1.7046175829891386,6.4677098217278175,3.673629205244707,3.89685187688776,36.39435111209831
KAGGLE_03,39,Delhi,Construction,8566,34,14376,8,Landfill,2594,19,Delhi Landfill,"30.2591, 91.9376",74509,1970,8.988496932962168,6.885266292815706,7.482943664336833,3.828182098113952,33.852054272811245
KAGGLE_03,40,Delhi,Hazardous,2873,76,14376,8,Incineration,1904,16,Delhi Landfill,"30.2591, 91.9376",74509,1970,7.663819312375007,7.419922344911644,7.204964616527895,8.029139520015462,75.84866879134835
KAGGLE_03,41,Delhi,Plastic,6770,66,14376,10,Landfill,3496,2,Delhi Landfill,"30.2591, 91.9376",74509,1970,2.897554908959476,7.151398459017773,3.8135467784055015,6.44190527810549,69.94508435357962
KAGGLE_03,42,Delhi,Organic,8105,40,14376,8,Recycling,3175,12,Delhi Landfill,"30.2591, 91.9376",74509,1970,6.226265369278462,5.248896724413342,6.294970491573825,4.027677466221695,37.228024115202
KAGGLE_03,43,Delhi,E-Waste,6564,72,14376,7,Recycling,4437,13,Delhi Landfill,"30.2591, 91.9376",74509,1970,6.048126501491583,7.06214518406428,6.293512951429195,6.911635898569861,73.01117848367176
KAGGLE_03,44,Delhi,Construction,7226,48,14376,8,Incineration,2360,11,Delhi Landfill,"30.2591, 91.9376",74509,1970,6.106582977954308,6.413470836202899,5.761181876332056,5.295631109498883,50.97822621665658
KAGGLE_03,45,Delhi,Hazardous,3464,32,14376,6,Incineration,2523,1,Delhi Landfill,"30.2591, 91.9376",74509,1970,1.615946367072163,6.438969724184677,2.883887945360717,3.681117907867936,36.54289949084559
KAGGLE_03,46,Delhi,Plastic,2397,67,14376,9,Landfill,3644,0,Delhi Landfill,"30.2591, 91.9376",74509,1970,2.0671857522064165,7.333943664577411,3.266358134424441,6.849508929707447,66.19120515363208
KAGGLE_03,47,Delhi,Organic,9092,71,14376,6,Landfill,2194,14,Delhi Landfill,"30.2591, 91.9376",74509,1970,6.350772089874293,4.161602968762795,6.262421364468018,7.404414059677474,71.9828589054404
KAGGLE_03,48,Delhi,E-Waste,7257,32,14376,5,Incineration,3259,5,Delhi Landfill,"30.2591, 91.9376",74509,1970,2.9016137557309225,6.43385964394029,4.237707406839252,3.4151001612837,33.13952071439729
KAGGLE_03,49,Delhi,Construction,8220,66,14376,6,Incineration,1687,10,Delhi Landfill,"30.2591, 91.9376",74509,1970,5.018792947409204,6.485475532054528,5.275286076948822,6.693158219039468,66.39096346310659
KAGGLE_03,50,Delhi,Hazardous,3054,32,14376,9,Landfill,1135,7,Delhi Landfill,"30.2591, 91.9376",74509,1970,4.4723656911729694,8.173083334857855,4.3748403470209976,2.753347996988897,31.802309597521383
KAGGLE_03,51,Bengaluru,Plastic,7843,36,18195,10,Incineration,4211,13,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.435823680511465,8.650987255847216,7.165135260140738,3.554764342552661,36.871950779000095
KAGGLE_03,52,Bengaluru,Organic,8884,32,18195,6,Incineration,4262,17,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.801666863129689,3.645325781795309,7.589909598071905,3.3747863021674105,26.935507829560628
KAGGLE_03,53,Bengaluru,E-Waste,2167,61,18195,6,Recycling,4554,0,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,1.355309627690902,7.961050102925717,4.034222797375201,6.277531613883684,62.36413898012526
KAGGLE_03,54,Bengaluru,Construction,4750,31,18195,7,Composting,4444,2,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,2.3755279312315185,7.881319082623568,4.103164358510118,2.973122618422384,31.252355807323934
KAGGLE_03,55,Bengaluru,Hazardous,8952,43,18195,5,Recycling,2956,0,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,1.055316610895869,6.919283722694607,3.2857122562534866,4.741691986658031,42.55505020644347
KAGGLE_03,56,Bengaluru,Plastic,7075,84,18195,6,Incineration,4993,15,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.143687976546195,7.348748113241768,7.546706702486231,8.067357032236782,88.09372439143911
KAGGLE_03,57,Bengaluru,Organic,3653,83,18195,5,Composting,3975,1,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,1.347609641143214,3.2153429430859397,3.5824294717766043,8.30035944621556,81.6501319624189
KAGGLE_03,58,Bengaluru,E-Waste,5477,40,18195,10,Incineration,3064,14,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.2314090429487585,6.9473539267770485,7.0617471210699,4.190883976550823,39.19384802186994
KAGGLE_03,59,Bengaluru,Construction,6105,83,18195,6,Incineration,2320,18,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.587450293081576,7.882259431175911,8.492554050704717,8.49713580589181,86.98310660440947
KAGGLE_03,60,Bengaluru,Hazardous,941,63,18195,5,Landfill,3733,6,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,3.205466259329964,8.168464323089792,4.848267184870867,6.448638956768815,61.33587739030029
KAGGLE_03,61,Bengaluru,Plastic,798,36,18195,8,Incineration,2456,11,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,5.791568385061682,8.410243235412702,6.874916055605004,3.37528821345186,34.899769434126924
KAGGLE_03,62,Bengaluru,Organic,994,51,18195,6,Recycling,2169,15,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,6.685827192140202,3.780256670221508,7.0393974859075845,4.756206568686622,50.7059491531383
KAGGLE_03,63,Bengaluru,E-Waste,8114,56,18195,8,Recycling,4323,6,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,4.144747113362316,6.58501344948368,5.032401432450904,5.735940326826711,57.681468964259096
KAGGLE_03,64,Bengaluru,Construction,6555,34,18195,7,Composting,2973,17,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.719622198940954,7.525859605585015,8.276481619401073,3.499302116139438,34.41560501470663
KAGGLE_03,65,Bengaluru,Hazardous,4008,47,18195,10,Incineration,3873,5,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,4.035537405868654,8.135141590520597,4.851847712978308,4.379356010289241,44.41474930569547
KAGGLE_03,66,Bengaluru,Plastic,3739,43,18195,5,Recycling,2073,9,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,4.3966781526734815,7.1028438761967045,5.637469951315015,4.505139145570563,41.93566287374562
KAGGLE_03,67,Bengaluru,Organic,909,54,18195,10,Composting,1000,20,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,9.332077427002217,1.2949325411371242,8.64581148204943,5.355171991733656,52.785291133575576
KAGGLE_03,68,Bengaluru,E-Waste,5864,51,18195,9,Landfill,4645,19,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,9.349251379238195,9.03805758481701,8.305970849633526,5.267760591603153,50.84555790955391
KAGGLE_03,69,Bengaluru,Construction,512,65,18195,6,Incineration,3796,17,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.256669876623573,8.518434527886955,8.378289465409557,6.837367079770151,65.85168731725966
KAGGLE_03,70,Bengaluru,Hazardous,902,85,18195,7,Landfill,1379,14,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.059954592083113,6.60990841739152,7.098925480834144,8.169728428576922,85.83641151177595
KAGGLE_03,71,Bengaluru,Plastic,5280,68,18195,9,Landfill,2386,10,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,5.896804454992538,8.547344107761363,6.574510035025009,6.319144867996837,64.44797649190319
KAGGLE_03,72,Bengaluru,Organic,7135,79,18195,5,Incineration,3919,17,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.113742066468742,3.4742660785589754,8.427449708059736,8.179102586395787,81.12788197512171
KAGGLE_03,73,Bengaluru,E-Waste,7667,81,18195,6,Landfill,2745,10,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,4.738125500537459,6.772503764146715,6.219394982825531,8.209697425152616,81.50513769199324
KAGGLE_03,74,Bengaluru,Construction,3159,43,18195,10,Recycling,4007,7,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,5.030796216061207,8.99155935730569,5.945520707103393,4.499639569622121,45.769064095187815
KAGGLE_03,75,Bengaluru,Hazardous,5891,59,18195,7,Incineration,2202,15,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.244419396921706,8.677517834420362,7.412895617212194,6.2381549749886425,59.88839665458134
KAGGLE_03,76,Chennai,Plastic,6159,74,21430,10,Composting,3282,13,Chennai Landfill,"29.4633, 80.8873",65486,1970,7.26055617254761,6.910099733894217,8.172716898514077,7.702810934824501,76.20264591547152
KAGGLE_03,77,Chennai,Organic,6358,53,21430,5,Composting,4225,1,Chennai Landfill,"29.4633, 80.8873",65486,1970,1.457211327877778,5.541062394038786,4.297928006549542,5.760920146928824,53.93309062290025
KAGGLE_03,78,Chennai,E-Waste,6787,50,21430,5,Landfill,1623,7,Chennai Landfill,"29.4633, 80.8873",65486,1970,3.473245324502811,8.227666810295066,6.395657748527211,5.035935078852118,52.6924515124055
KAGGLE_03,79,Chennai,Construction,628,41,21430,10,Recycling,837,7,Chennai Landfill,"29.4633, 80.8873",65486,1970,4.799435065397786,7.760825345118876,6.202452522480897,4.088495632659905,42.04450127203556
KAGGLE_03,80,Chennai,Hazardous,1639,50,21430,9,Composting,3225,19,Chennai Landfill,"29.4633, 80.8873",65486,1970,8.713646246153267,7.028428990220698,9.096287287479615,4.90188719989073,49.80416950711419
KAGGLE_03,81,Chennai,Plastic,1760,68,21430,8,Incineration,2871,18,Chennai Landfill,"29.4633, 80.8873",65486,1970,8.765841728249601,7.299696333455453,9.09135036077257,6.453691042844204,72.54486944089376
KAGGLE_03,82,Chennai,Organic,6805,32,21430,5,Composting,1988,3,Chennai Landfill,"29.4633, 80.8873",65486,1970,2.1834695421645822,4.166804830428346,5.412495573658299,3.2726072328820224,33.77807424455978
KAGGLE_03,83,Chennai,E-Waste,5763,67,21430,5,Landfill,1453,0,Chennai Landfill,"29.4633, 80.8873",65486,1970,1.0223473732607329,8.123173834962731,3.963001751674277,6.477012524325978,68.14748884200883
KAGGLE_03,84,Chennai,Construction,8100,76,21430,9,Incineration,2855,1,Chennai Landfill,"29.4633, 80.8873",65486,1970,2.288328990269462,6.751671265934629,4.375591570771167,8.021307512212974,73.44739116692332
KAGGLE_03,85,Chennai,Hazardous,651,46,21430,8,Recycling,533,7,Chennai Landfill,"29.4633, 80.8873",65486,1970,4.290814221646115,7.493610871349924,6.421684532658286,4.683190804277098,43.423384765072925
KAGGLE_03,86,Chennai,Plastic,4648,60,21430,9,Landfill,1389,0,Chennai Landfill,"29.4633, 80.8873",65486,1970,1.992207817229511,7.445209809113071,4.625023895602174,6.092840180508111,60.58543096428371
KAGGLE_03,87,Chennai,Organic,8394,72,21430,6,Incineration,4236,15,Chennai Landfill,"29.4633, 80.8873",65486,1970,7.008363468271443,5.938646831294959,8.674685987152646,7.054924660877011,72.29104239553648
KAGGLE_03,88,Chennai,E-Waste,4255,31,21430,6,Landfill,3888,17,Chennai Landfill,"29.4633, 80.8873",65486,1970,7.694644226192453,9.362213683997764,8.96967627227475,2.651989351977708,29.77175486998337
KAGGLE_03,89,Chennai,Construction,4259,65,21430,7,Composting,1620,10,Chennai Landfill,"29.4633, 80.8873",65486,1970,5.451903429069569,8.57867735150301,7.409411189755307,6.031743765372989,65.28196539922412
KAGGLE_03,90,Chennai,Hazardous,552,31,21430,7,Incineration,2450,2,Chennai Landfill,"29.4633, 80.8873",65486,1970,2.271160084707706,7.266216893880444,5.161178983558775,3.0233351441531977,34.17725385608719
KAGGLE_03,91,Chennai,Plastic,1858,61,21430,5,Incineration,4476,3,Chennai Landfill,"29.4633, 80.8873",65486,1970,2.065295153808644,6.997692782628531,5.006690690663411,5.684565378097238,62.3908049491006
KAGGLE_03,92,Chennai,Organic,5933,71,21430,8,Recycling,3180,20,Chennai Landfill,"29.4633, 80.8873",65486,1970,9.392985682370702,2.582593397640388,9.064003404274825,7.206846955540139,68.71798298049453
KAGGLE_03,93,Chennai,E-Waste,7231,36,21430,7,Incineration,3588,12,Chennai Landfill,"29.4633, 80.8873",65486,1970,6.143411356257685,6.862348380765767,7.740462345368903,3.980973005639657,35.77698234571411
KAGGLE_03,94,Chennai,Construction,8389,79,21430,10,Incineration,3449,20,Chennai Landfill,"29.4633, 80.8873",65486,1970,9.74731684644913,7.62399166283296,9.602787703499883,8.282914816518723,77.39006703829487
KAGGLE_03,95,Chennai,Hazardous,6393,53,21430,7,Landfill,764,16,Chennai Landfill,"29.4633, 80.8873",65486,1970,7.6716010519794,5.316959360227438,8.006824494417264,5.459045410132232,52.22460016718288
KAGGLE_03,96,Chennai,Plastic,4234,44,21430,8,Composting,3634,19,Chennai Landfill,"29.4633, 80.8873",65486,1970,8.816836723696248,8.362797041964976,9.068688947924946,4.111231831472931,43.17276866874072
KAGGLE_03,97,Chennai,Organic,7743,64,21430,7,Recycling,2483,20,Chennai Landfill,"29.4633, 80.8873",65486,1970,8.966680822527632,3.075348885233219,9.915438297508254,6.762996831358872,63.04470883479199
KAGGLE_03,98,Chennai,E-Waste,618,85,21430,6,Incineration,1982,15,Chennai Landfill,"29.4633, 80.8873",65486,1970,6.795760189568102,8.566596432890865,8.20903962773417,8.886093435313208,82.48972925605321
KAGGLE_03,99,Chennai,Construction,4852,69,21430,5,Recycling,4411,8,Chennai Landfill,"29.4633, 80.8873",65486,1970,3.807490024182513,6.98767920581744,6.391367618043673,6.596653584952959,68.74469063696363
KAGGLE_03,100,Chennai,Hazardous,3096,45,21430,8,Composting,896,19,Chennai Landfill,"29.4633, 80.8873",65486,1970,8.46898288834765,7.489966032553176,9.16633808718326,4.737426085770677,43.87878472630538
KAGGLE_03,101,Kolkata,Plastic,7992,32,17335,9,Composting,2038,20,Kolkata Landfill,"16.068, 72.6096",80985,1970,8.988527377399958,8.46824215207981,8.315532191381994,2.986519548927123,26.141102619995465
KAGGLE_03,102,Kolkata,Organic,8041,71,17335,6,Composting,4200,6,Kolkata Landfill,"16.068, 72.6096",80985,1970,3.563347345890628,5.7959863313123545,4.975356638241625,7.402640312352929,75.10594404900333
KAGGLE_03,103,Kolkata,E-Waste,812,50,17335,10,Recycling,3118,16,Kolkata Landfill,"16.068, 72.6096",80985,1970,8.04915460876208,9.091714147051722,7.476462723364008,5.4972378999036025,52.17753930843335
KAGGLE_03,104,Kolkata,Construction,4954,63,17335,10,Incineration,1135,14,Kolkata Landfill,"16.068, 72.6096",80985,1970,7.4707175947434035,7.657495780402623,6.659004487564304,5.830026005329392,62.24739855015001
KAGGLE_03,105,Kolkata,Hazardous,626,53,17335,5,Recycling,4504,6,Kolkata Landfill,"16.068, 72.6096",80985,1970,3.4067699132602574,8.368732324130097,5.374217095894749,5.697365865790932,53.0376380994812
KAGGLE_03,106,Kolkata,Plastic,1569,52,17335,10,Composting,2719,4,Kolkata Landfill,"16.068, 72.6096",80985,1970,3.660711324142268,9.19271481175831,4.52315389928071,5.322630533598658,49.65669130536487
KAGGLE_03,107,Kolkata,Organic,6472,74,17335,5,Landfill,3328,14,Kolkata Landfill,"16.068, 72.6096",80985,1970,6.171819759588709,4.553787023760888,7.428829354193255,7.87338261916482,77.39144575562173
KAGGLE_03,108,Kolkata,E-Waste,6409,50,17335,9,Composting,1796,11,Kolkata Landfill,"16.068, 72.6096",80985,1970,6.266814873135289,7.220053308420102,6.706997468496727,4.965009517526427,53.79457738954622
KAGGLE_03,109,Kolkata,Construction,2509,60,17335,5,Composting,2411,20,Kolkata Landfill,"16.068, 72.6096",80985,1970,8.217576354646752,6.291205550436303,8.318643522075488,6.347387930571374,60.31338745649305
KAGGLE_03,110,Kolkata,Hazardous,5709,58,17335,10,Incineration,4414,3,Kolkata Landfill,"16.068, 72.6096",80985,1970,3.2378569785527307,7.616705464576412,4.514002949546959,5.362394068598277,60.04706128837069
KAGGLE_03,111,Kolkata,Plastic,3627,67,17335,6,Incineration,4952,16,Kolkata Landfill,"16.068, 72.6096",80985,1970,7.061429167182936,7.603332112417879,7.578931271539814,6.535279050078296,67.35057355786785
KAGGLE_03,112,Kolkata,Organic,9186,35,17335,6,Landfill,4649,9,Kolkata Landfill,"16.068, 72.6096",80985,1970,4.460984675550696,2.5037535036425,6.236806205298317,3.06701653775121,32.32654912224814
KAGGLE_03,113,Kolkata,E-Waste,2735,54,17335,8,Composting,2923,1,Kolkata Landfill,"16.068, 72.6096",80985,1970,2.2553541908521466,9.060140302943957,3.572390146553285,5.8753431334790704,53.17635326207269
KAGGLE_03,114,Kolkata,Construction,1989,45,17335,7,Recycling,2795,8,Kolkata Landfill,"16.068, 72.6096",80985,1970,4.645227580313941,7.450627224172115,5.784462667686875,4.816973907271837,45.26385593354392
KAGGLE_03,115,Kolkata,Hazardous,2740,34,17335,8,Recycling,1795,7,Kolkata Landfill,"16.068, 72.6096",80985,1970,4.438120105950766,6.822722847545418,5.464401589629553,3.7525474212459695,33.09090456251311
KAGGLE_03,116,Kolkata,Plastic,1267,51,17335,7,Incineration,4565,9,Kolkata Landfill,"16.068, 72.6096",80985,1970,5.059146658958683,8.774446045558916,5.6519509449486645,5.537965231433894,50.56269344512993
KAGGLE_03,117,Kolkata,Organic,545,61,17335,5,Landfill,4082,13,Kolkata Landfill,"16.068, 72.6096",80985,1970,6.042660564780473,4.26466063491695,6.493250371028003,5.685103486119785,60.81720088498177
KAGGLE_03,118,Kolkata,E-Waste,1714,81,17335,7,Composting,2394,11,Kolkata Landfill,"16.068, 72.6096",80985,1970,5.430065260961457,8.7591975781241,6.5082892278541085,7.985597592513334,80.83824300426907
KAGGLE_03,119,Kolkata,Construction,7568,65,17335,5,Incineration,3770,0,Kolkata Landfill,"16.068, 72.6096",80985,1970,1.0917009260557573,8.015268113724199,3.845246925509161,6.071034889044002,65.10451698099497
KAGGLE_03,120,Kolkata,Hazardous,8057,32,17335,5,Composting,2400,3,Kolkata Landfill,"16.068, 72.6096",80985,1970,2.163772581857605,8.665177579794374,4.172276811140181,2.9107931015500284,29.8787898672068
KAGGLE_03,121,Kolkata,Plastic,6343,80,17335,7,Recycling,1064,17,Kolkata Landfill,"16.068, 72.6096",80985,1970,8.081350665803345,8.403441971397745,8.001482071399144,7.729365777037673,78.56596770174413
KAGGLE_03,122,Kolkata,Organic,1654,71,17335,10,Incineration,2348,11,Kolkata Landfill,"16.068, 72.6096",80985,1970,6.612059915836528,3.7750988956530858,6.251780374988335,7.069107211047578,68.43083146860006
KAGGLE_03,123,Kolkata,E-Waste,9639,60,17335,10,Landfill,2743,11,Kolkata Landfill,"16.068, 72.6096",80985,1970,6.233735685099946,6.465737467158784,6.56985635065945,5.768562167453643,61.9556310993724
KAGGLE_03,124,Kolkata,Construction,4040,77,17335,6,Landfill,2119,16,Kolkata Landfill,"16.068, 72.6096",80985,1970,6.928294041395685,6.19549688935478,7.305864742270884,7.3009781068177615,72.78870611631935
