material,condition,contamination,unit,quantity,broken_percentage,condition_score,contamination_score,has_cracks,structural_compromised,has_rust,has_rot,is_moist,has_hazardous_coating,is_separable,recommended_pathway
Brick,Excellent,None,tonnes,3466.8,6.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Good,None,units,4475.0,27.1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Good,None,kg,3427.2,8.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Damaged,Moderate,units,3336.5,37.6,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Good,Low,units,5568.8,31.3,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Moderate,Moderate,tonnes,6925.9,32.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Mixed Construction Waste,Severely Damaged,Low,units,822.3,35.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Severely Damaged,Low,kg,5627.5,63.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Soil,Excellent,High,tonnes,3055.8,89.4,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Good,None,cubic metres,6985.4,7.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Damaged,High,cubic metres,270.6,36.1,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,None,tonnes,3125.4,7.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Severely Damaged,None,units,6732.0,26.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Brick,Good,None,kg,2465.8,3.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Damaged,Moderate,units,3692.7,63.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Excellent,None,kg,2559.0,6.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Damaged,None,cubic metres,5432.7,28.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Good,Low,tonnes,6461.2,32.5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Severely Damaged,None,units,791.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Soil,Severely Damaged,Hazardous,cubic metres,1070.0,13.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Damaged,None,tonnes,569.6,72.8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Steel,Damaged,None,units,4698.3,34.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Good,None,tonnes,1332.0,30.2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Excellent,None,units,6895.3,6.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Moderate,High,units,3014.1,82.5,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Excellent,None,cubic metres,6844.1,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Damaged,Low,tonnes,6662.2,45.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Severely Damaged,Moderate,tonnes,3619.3,29.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Moderate,None,units,2052.6,20.8,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Good,Low,units,7851.3,25.2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Moderate,Low,units,5724.7,68.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Damaged,Low,cubic metres,1432.7,33.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Moderate,Low,tonnes,2475.3,61.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Severely Damaged,None,units,1575.2,32.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Soil,Damaged,High,tonnes,3733.7,71.2,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Good,Hazardous,tonnes,6265.8,0.1,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Damaged,Low,kg,4664.9,14.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Moderate,Moderate,cubic metres,4423.5,65.7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Moderate,Low,units,2859.3,33.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Plastic,Severely Damaged,Low,cubic metres,7795.3,41.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Plastic,Damaged,Moderate,cubic metres,2991.6,23.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Good,Low,tonnes,445.8,26.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,High,units,1582.1,68.6,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Good,Low,kg,2129.8,18.2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Mixed Construction Waste,Moderate,Moderate,tonnes,3215.8,72.7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Moderate,Low,units,3921.4,18.4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,Hazardous,cubic metres,5785.5,53.5,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Moderate,Low,cubic metres,1845.7,18.7,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Good,None,units,5401.9,34.4,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Damaged,Hazardous,cubic metres,1696.8,38.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Damaged,Low,tonnes,1717.6,61.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Moderate,Hazardous,kg,4909.1,59.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Soil,Severely Damaged,Low,kg,6900.6,76.3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Plastic,Severely Damaged,High,kg,3662.6,72.7,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Damaged,Low,units,259.6,44.3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Concrete,Excellent,None,cubic metres,5372.2,1.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Severely Damaged,High,tonnes,344.3,83.9,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,None,units,993.1,5.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Moderate,Low,tonnes,2392.8,44.8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Good,Hazardous,cubic metres,7334.5,26.3,3.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Damaged,None,units,1203.1,44.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Severely Damaged,Hazardous,cubic metres,3413.3,40.1,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Good,Low,units,6169.5,16.2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Excellent,None,cubic metres,6988.9,3.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Severely Damaged,Hazardous,cubic metres,660.1,6.6,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Steel,Excellent,None,cubic metres,5434.7,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Good,Low,kg,6958.1,22.8,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Damaged,Moderate,units,1879.9,29.7,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Soil,Severely Damaged,Low,cubic metres,5463.3,40.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Gypsum,Severely Damaged,Low,kg,2259.6,52.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Glass,Excellent,None,cubic metres,7331.0,2.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Good,None,cubic metres,7743.7,5.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Moderate,None,cubic metres,1177.6,30.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Excellent,None,units,5647.1,2.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Severely Damaged,Moderate,tonnes,6524.8,58.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Plastic,Severely Damaged,Low,cubic metres,5186.0,46.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Damaged,Low,tonnes,6565.9,48.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Gypsum,Severely Damaged,Moderate,kg,5767.8,23.1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Wood,Damaged,Low,units,5301.8,9.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,None,tonnes,4111.1,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Severely Damaged,Moderate,tonnes,6425.4,59.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Excellent,None,tonnes,5198.7,3.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Moderate,None,kg,5835.6,26.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Excellent,None,tonnes,3489.3,6.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Damaged,Low,units,1264.0,63.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Severely Damaged,Moderate,cubic metres,507.1,70.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Moderate,Moderate,cubic metres,316.6,54.9,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Brick,Good,None,cubic metres,7743.9,7.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Damaged,None,units,5412.2,21.8,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,REPAIR
Glass,Severely Damaged,Low,cubic metres,769.0,77.3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Moderate,Low,cubic metres,2047.6,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Good,None,units,1939.2,0.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Damaged,Moderate,cubic metres,6514.6,66.9,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Steel,Damaged,Low,tonnes,4604.2,26.8,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Soil,Severely Damaged,Hazardous,kg,4449.0,55.7,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Soil,Good,Hazardous,tonnes,2699.8,43.9,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Good,Hazardous,kg,3234.8,3.9,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Moderate,Moderate,kg,3816.3,59.2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Moderate,Moderate,units,1690.1,65.8,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Gypsum,Moderate,Moderate,cubic metres,1903.2,27.9,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Plastic,Severely Damaged,Low,kg,3847.6,67.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Asphalt,Damaged,None,cubic metres,750.9,43.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Damaged,Low,cubic metres,5899.5,12.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Moderate,None,tonnes,2020.3,26.9,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Good,None,tonnes,1009.2,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Good,None,cubic metres,4920.6,7.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Good,Hazardous,kg,3354.9,61.5,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Good,Low,kg,6541.9,33.5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Severely Damaged,Moderate,kg,6788.4,79.9,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Excellent,None,tonnes,7719.5,6.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Severely Damaged,Low,cubic metres,1895.8,48.6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Plastic,Good,High,cubic metres,3252.1,86.4,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Moderate,Low,tonnes,7916.8,73.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Good,Low,cubic metres,1098.8,32.9,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Excellent,Hazardous,units,2384.5,75.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,High,units,2225.1,28.6,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Moderate,Moderate,kg,2356.4,68.8,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Damaged,Low,kg,6789.8,70.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Asphalt,Moderate,Moderate,tonnes,6810.0,50.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Good,None,tonnes,4324.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Good,None,cubic metres,6815.1,2.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Good,Low,units,7604.1,27.9,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,Hazardous,units,3722.5,41.2,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Damaged,None,cubic metres,4743.0,16.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Moderate,Hazardous,units,6190.8,72.7,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Asphalt,Severely Damaged,Low,kg,4930.1,62.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Damaged,Low,tonnes,1136.2,17.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Mixed Construction Waste,Damaged,Moderate,tonnes,1863.5,36.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Severely Damaged,None,units,1298.4,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Moderate,None,cubic metres,3236.7,49.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Severely Damaged,Low,cubic metres,471.6,50.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Ceramic / Tiles,Moderate,Low,tonnes,2596.5,6.3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Good,None,kg,734.7,19.1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Glass,Excellent,None,units,4639.9,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Moderate,Hazardous,units,7241.6,8.6,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Excellent,None,cubic metres,3613.8,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Good,None,kg,3974.0,7.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Damaged,Hazardous,kg,2092.6,34.7,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Damaged,Moderate,cubic metres,3770.6,69.6,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Moderate,Moderate,cubic metres,1685.4,70.3,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Damaged,None,units,4520.1,20.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Mixed Construction Waste,Moderate,Low,units,6096.6,31.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Brick,Excellent,None,units,4500.8,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
